Technology,Gen Type,Technology Sub,Year,Levelized cost of energy,Fuel
Biopower,Biopower,Biogas,2009,0.048,Natural Gas
Combined Cycle,Combined Cycle,Advanced CC,2009,0.048,Natural Gas
Onshore,Land-Based Wind,,2013,0.047,Natural Gas
Hydrothermal,Geothermal,Flash,2011,0.047,Natural Gas
Onshore,Land-Based Wind,,2008,0.047,Natural Gas
Onshore,Land-Based Wind,,2005,0.047,Natural Gas
Combustion Turbine,Combustion Turbine,Conventional Combustion Turbine,2010,0.046,Natural Gas
Combined Cycle,Combined Cycle,Advanced CC,2009,0.046,Natural Gas
Onshore,Land-Based Wind,,2010,0.045,Natural Gas
Combined Cycle,Combined Cycle,,2009,0.045,Coal
Onshore,Land-Based Wind,,2009,0.044,Coal
Onshore,Land-Based Wind,,2009,0.044,Coal
Hydrothermal,Geothermal,Flash,2008,0.044,Coal
Hydrothermal,Geothermal,Flash,2007,0.044,Coal
Hydrothermal,Geothermal,Flash,2009,0.043,Coal
Combined Cycle,Combined Cycle,conventional CC,2009,0.043,Coal
Combined Cycle,Combined Cycle,Conventional CC,2009,0.042,Coal
Onshore,Land-Based Wind,,2008,0.042,Coal
Onshore,Land-Based Wind,,2009,0.041,Coal
Onshore,Land-Based Wind,,2009,0.04,Coal
Hydrothermal,Geothermal,Flash,2009,0.04,Coal
Combined Cycle,Combined Cycle,Advanced CC,2009,0.04,Coal
Hydrothermal,Geothermal,Flash,2009,0.039,Coal
Combined Cycle,Combined Cycle,Advanced CC CCS,2010,0.038,Coal
Combustion Turbine,Combustion Turbine,Advanced Combustion Turbine,2010,0.038,Coal
Scrubbed,Coal,Advanced PC,2010,0.038,Coal
Distributed Generation,Distributed Generation,Diesel,2014,0.037,Coal
Hydrothermal,Geothermal,Flash,2009,0.037,Coal
Hydroelectric,Hydroelectric,Conventional,2009,0.037,Coal
Onshore,Land-Based Wind,,2014,0.035,Coal
Hydroelectric,Hydroelectric,Conventional,2009,0.035,Coal
Combustion Turbine,Combustion Turbine,Advanced Combustion Turbine,2009,0.035,Coal
Hydrothermal,Geothermal,Binary,2009,0.034,Coal
Hydroelectric,Hydroelectric,,2011,0.033,Coal
Hydroelectric,Hydroelectric,,2009,0.032,Coal
Hydroelectric,Hydroelectric,,2009,0.032,Coal
Combined Cycle,Combined Cycle,Advanced CC CCS,2009,0.032,Coal
Combustion Turbine,Combustion Turbine,Conventional Combustion Turbine,2009,0.032,Coal
Combined Cycle,Combined Cycle,,2007,0.031,Coal
Combined Cycle,Combined Cycle,,2007,0.03,Coal
Combined Cycle,Combined Cycle,,2007,0.029,Coal
Combined Cycle,Combined Cycle,Conventional CC,2010,0.024,Coal
Combined Cycle,Combined Cycle,,2009,0.023,Coal
Combined Cycle,Combined Cycle,Advanced CC,2010,0.019,Coal
Small Hydropower,Small Hydro,,2009,0.019,Coal
Combined Cycle,Combined Cycle,,2010,0.018,Coal
Combined Cycle,Combined Cycle,Advanced CC,2009,0.017,Uranium
Combined Cycle,Combined Cycle,,2009,0.017,Uranium
Combined Cycle,Combined Cycle,,2007,0.016,Uranium
Biopower,Biopower,Coal Co-fire,2011,0.015,Uranium
Combined Cycle,Combined Cycle,,2007,0.015,Uranium
Biopower,Biopower,Coal Co-fire,2011,0.014,Uranium
Combined Cycle,Combined Cycle,,2007,0.014,Uranium
Biopower,Biopower,Coal Co-fire,2011,0.013,Uranium
Hydroelectric,Hydroelectric,Conventional,2009,0.013,Uranium
Biopower,Biopower,Coal Co-fire,2011,0.01,Solar
Biopower,Biopower,Coal Co-fire,2011,0.01,Uranium
Distributed Generation,Distributed Generation,Diesel,2014,0.009,Uranium
Biopower,Biopower,Coal Co-fire,2011,0.009,Uranium
